pre_text,airline_sentiment
trabajar #tma #empleo,neutral
gusten cancun viaja disfruta manera igual,neutral
sabiais trata bien santiago chile cambia asiento manda volar wc trasero,negative
nunca nunca nunca pidais cafe bueno vendan bordo,negative
exito,positive
wow bonito solo volado unas veces siempre tierra,positive
plus cumple años queremos celebrarlo contigo manera especial elige numero favorito,neutral
barometro #business vueling compañias aereas utilizadas #viajes,positive
felicitaciones,positive
chuata madrid stgo par semanas cruzar dedos,neutral
disponibilidad aerea internacional siguientes destinos :airplane: argentina gol airlines :airplane: madrid airlin,neutral
ahora,neutral
destino solo click deseadme suerte #holaargentina hola destinos europeos mejor precio,neutral
air france klm igual elimino duplicidad avales agencias nexotur,neutral
año uniran resto no decian cataluña ave galicia no rentable,negative
penoso solo viajo si no alternativa,negative
ademas intentado hacer d nuevo compracon tarjeta no permite aunq tarjeta di,negative
suerte poder volar especialmente aterrizar :backhand_index_pointing_right: :victory_hand: :winking_face_with_tongue:,positive
mejor foto tecnologica año #womenintechspain #redhat red hat country manager,neutral
:chart_decreasing: :fire: chollo maleta aerolite barata solo enlace,positive
omg :exploding_head: viendo agosto vuelo directo san francisco vuelta corazon saltando,positive
eta militar aerolineas peores experiencias sido todas,negative
hola andrea pareja sentencia firme abandono praga indemnizado c,negative
llegando #malaga pusieron musiquita altavoz encenti,negative
finalmente proporcionarme autorizacion viajar lamentable,negative
pues verdad no pocas explicaciones ninguna alternativa cuenta etc dejando desear,negative
destino solo click deseadme suerte #holaargentina hola destinos europeos mejor precio,neutral
ofrecen descuento asistentes #gijonsecome codigo descuento iigijonsecome,neutral
hice compra pasaje nunca llego mail confirmacion si bien figura reserva ingresando,negative
acabo venir mostrador atencion cliente mandan llamar telefono chistoso qu,negative
asi accidente vuelo spanair letal españa decadas video,neutral
hoy hace años levanto vuelo unio madrid barcelona,neutral
mañana regresamos casa pasar fiestas no podra comer no puede ofrecer,negative
pues sabes billete cerrado,neutral
perdio maleta hace dias medicamentos adentro no,negative
buenos tiempos b avion excelencia volveremos verlo nuevo ib,positive
vergonzoso cancela vuelo chicago madrid diciembre si viajamos par,negative
cuando dicho actuado bi,negative
black friday,neutral
pues fue tan desagradable no gastaria dinero,negative
pasajero sale puerta emergencia avion cansado esperar mas hora,negative
rt favor pasajeros demora devolucion dinero jodamoslos retuiteemos compartam,negative
jajajajajja llevate pasaporte lu,neutral
ayudas difundir favor,neutral
volado vuelos niki operaba air berlin colaboracion estre,neutral
no atiende reclamaciones indemnizacion retraso superior tres horas pesar saber,negative
consta verguenza,negative
suena hace tiempo llevo barça prat amistoso golfo,positive
calera apoya tas descenso colista transicion no promedio ahora,neutral
mil gracias luis :face_blowing_a_kiss: :face_blowing_a_kiss: :face_blowing_a_kiss:,positive
placer viajar nueva politica equipajes entrara vigor proximo mes,positive
hola hecho check in app despues meses experiencia sido brutalmente buena :OK_hand: :slightly_smiling_face: :clapping_hands: :light_skin_tone:,positive
hola vuelo viena madrid va salir minutos retraso gracias billete,negative
ahorrar sobrevalorado poniendo ojitos,positive
siento estafado,negative
deberian quitarles licencia compañias serias ocupen lugar,negative
pide #pilotos abandonen planes #huelga,negative
puse reclamacion vez metio avion parecia primera guerra mundial,negative
felicitaciones,positive
buen despegue veces veo spotters zona,positive
iag transporto pasajeros gracias empuje,positive
felices fiestas pena venezolanos no podamos volar ustedes experiencia siempre,positive
antonio baldellou nuevo director instalaciones existentes modernizaciones schindler recursos huma,neutral
tripulante cabina pasajeros,neutral
primer vuelo vida perdido gracias ayuda #worstflightcompany,negative
hoy cumple años primer vuelo felicidades #avgeek #pasionporlaaviacion,neutral
descubre shanghai vuelo directo dias tax includ,negative
guarretes jajaja no volaba cn aunque pagaran via,negative
ampliara vuelos semanales buenos aires,neutral
dos asientos juntos pueden explicarme si nueva politica fidelizar clientes si puedo arreglarlo gracias,neutral
gracias regalazo navidad :Christmas_tree: :wrapped_gift: #upgrade #business vuelo horas no precio :folded_hands: :light_skin_tone:,positive
asi accidente vuelo spanair letal españa decadas video,negative
idoya esperemos no menos ponen parte solucionarlo,neutral
madrid,neutral
buenas noche :glowing_star: :glowing_star:,positive
pues menudo timo,negative
verguenza dentro malo quedo aeropuerto maneja idioma puedas abrazar pronto,negative
united peores aerolineas segun consultora brintanica which,negative
mejor no pasado arrechera aa bello,neutral
salvador diputados no abren espacio aereo aerolineas mira precios madrid,neutral
ale gatwick panda inutiles redomados,negative
viaje semana pasada san francisco sirvio subir categoria plus mañana maleta extra,positive
reclama billete seguro,neutral
madre mana gilipollas,negative
origen vuelo turin avion airnostrum conocimiento tomen nota,negative
dios hablando asi ingles parece azafatas,negative
regala smartphones pasajeros vuelo chispa revista turismo,positive
hoy aeropuerto ventana nadie sabia vuelos h,negative
hacemos alcanzable inalcanzable,positive
esperan renfe suspender todas relaciones transporte cataluña,negative
exceso malo menos viajar #holaeuropa bienvenidos quiero disfrutar ustedes exper,positive
aerolinea nuevas conexiones #aeropuerto #madrid hacia #managua #sanfrancisco,neutral
pilotos alemania haran huelga viernes primera historia aerolinea via,neutral
hoy cumplen años primer vuelo :airplane: ️ :birthday_cake: via #aniversario,neutral
claro q decian q iban pie resulta q cia q,negative
asco hace años hoy siendo smooth haran cambiar opinion :face_with_tears_of_joy:,positive
desaloja varias chicas avion comportarse animales,negative
dhl coge toro tecnologia cuernos,positive
pues vale molt be pues adios,negative
decision equipaje mano va enfadar mayoria clientes,negative
recibo mail resumen tarjeta cinco horas wi fi gracias :unamused_face:,negative
fijate pasa ruta aa deja hacer bcn ocupacion beneficiada,negative
the latest australiner diario #airbus,negative
